10030	56
42370	386
10050	211
10060	212
851172	211
10080	3702
10090	4157
852606	4162
127780	4158
851174	4157
10100	4162
851180	4162
136620	4164
851173	4157
851657	4162
10110	4169
170100	175
172370	2600
10130	2600
600235	2845
1	252
4	259
3	257
2	255
5	249
6	248
10140	251
10150	97
10160	96
10170	99
851217	107
7	250
10180	101
8	1051
12	1364
10	17
10200	2315
11	102
9	19
13	468
14	1624
15	268
400964	269
27	267
10210	152
10220	104
16	268
17	273
19	3352
20	270
21	277
23	276
18	270
22	274
24	275
10230	274
25	106
10240	266
26	265
35280	1484
28	278
30	279
52	25
10250	591
133900	42
858947	48
31	684
32	2436
400588	21
858408	16
856475	2427
38	594
39	42
40	41
37	30
44	39
45	40
42	35
43	35
862843	35
46	43
47	3378
856469	3378
856470	3378
78	21
48	44
856474	1712
41	528
500476	3378
33	21
34	528
35	1703
851904	2360
858527	21
858406	45
856494	45
49	21
50	21
51	3378
53	31
853898	3378
54	3378
55	1292
856496	1292
56	497
10260	52
57	498
58	141
59	55
64	367
10270	316
10280	305
72	282
852472	282
74	345
76	345
77	345
10320	1748
10330	1748
61	291
62	291
10340	4044
10350	161
79	1593
84	336
857917	340
66	2528
67	342
68	4044
69	302
10290	586
10300	1741
88	409
70	367
10310	287
851930	287
73	286
75	345
60	290
65	320
63	289
80	288
82	388
860857	1742
856353	1742
83	288
10360	1741
10370	308
85	2317
858405	306
86	389
87	1743
856448	580
450623	329
10380	416
89	196
90	196
91	196
359	416
856354	417
92	330
856284	196
101	2669
500043	2369
93	294
95	295
96	296
94	298
97	299
98	294
450443	294
102	293
104	1744
853329	293
105	129
106	2191
108	185
109	197
110	192
111	203
10400	183
107	184
113	184
854207	184
114	184
115	2437
860530	206
112	184
450492	184
450489	184
450497	184
116	229
117	217
10420	220
859030	222
119	219
118	221
120	225
121	228
122	738
125	224
126	224
851320	224
862923	703
128	327
129	327
131	1132
130	327
501096	420
142	418
861178	419
143	307
134	1819
135	420
136	422
138	429
139	430
140	1761
141	428
144	420
145	1818
856380	420
148	427
146	421
147	421
855052	420
149	131
150	423
151	426
852756	424
854912	2370
10430	425
861989	426
152	426
851404	423
851936	423
153	432
154	1357
155	1364
156	1367
